2026/02/22 14:02:20 [error] 28108#39864: *1 CreateFile() "C:\nginx-1.22.1/html/login" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /login HTTP/1.1", host: "localhost"
2026/02/22 14:02:38 [error] 28108#39864: *2 CreateFile() "C:\nginx-1.22.1/html/api/depts" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /api/depts HTTP/1.1", host: "localhost", referrer: "http://localhost/dept"
2026/02/22 14:02:38 [error] 28108#39864: *2 CreateFile() "C:\nginx-1.22.1/html/api/emps" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /api/emps?name=&gender=&begin=&end=&page=1&pageSize=10 HTTP/1.1", host: "localhost", referrer: "http://localhost/emp"
2026/02/22 14:02:55 [error] 28108#39864: *2 CreateFile() "C:\nginx-1.22.1/html/api/depts" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /api/depts HTTP/1.1", host: "localhost", referrer: "http://localhost/dept"
2026/02/22 14:02:56 [error] 28108#39864: *2 CreateFile() "C:\nginx-1.22.1/html/api/emps" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /api/emps?name=&gender=&begin=&end=&page=1&pageSize=10 HTTP/1.1", host: "localhost", referrer: "http://localhost/emp"
2026/02/22 14:02:58 [error] 28108#39864: *2 CreateFile() "C:\nginx-1.22.1/html/.well-known/appspecific/com.chrome.devtools.json" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1", host: "localhost"
2026/02/22 14:02:58 [error] 28108#39864: *2 CreateFile() "C:\nginx-1.22.1/html/api/depts" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /api/depts HTTP/1.1", host: "localhost", referrer: "http://localhost/dept"
2026/02/22 14:04:04 [error] 28108#39864: *4 CreateFile() "C:\nginx-1.22.1/html/api/emps" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /api/emps?name=&gender=&begin=&end=&page=1&pageSize=10 HTTP/1.1", host: "localhost", referrer: "http://localhost/emp"
2026/02/22 14:18:04 [error] 28108#39864: *7 CreateFile() "C:\nginx-1.22.1/html/api/depts" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /api/depts HTTP/1.1", host: "localhost", referrer: "http://localhost/dept"
2026/02/22 14:18:05 [error] 28108#39864: *7 CreateFile() "C:\nginx-1.22.1/html/api/emps" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /api/emps?name=&gender=&begin=&end=&page=1&pageSize=10 HTTP/1.1", host: "localhost", referrer: "http://localhost/emp"
2026/02/22 14:18:06 [error] 28108#39864: *7 CreateFile() "C:\nginx-1.22.1/html/api/depts" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /api/depts HTTP/1.1", host: "localhost", referrer: "http://localhost/dept"
2026/02/22 14:18:07 [error] 28108#39864: *7 CreateFile() "C:\nginx-1.22.1/html/.well-known/appspecific/com.chrome.devtools.json" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1", host: "localhost"
2026/02/22 14:18:10 [error] 28108#39864: *7 CreateFile() "C:\nginx-1.22.1/html/api/emps" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /api/emps?name=&gender=&begin=&end=&page=1&pageSize=10 HTTP/1.1", host: "localhost", referrer: "http://localhost/emp"
2026/02/22 14:18:10 [error] 28108#39864: *6 CreateFile() "C:\nginx-1.22.1/html/api/depts" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /api/depts HTTP/1.1", host: "localhost", referrer: "http://localhost/dept"
2026/02/22 14:18:11 [error] 28108#39864: *7 CreateFile() "C:\nginx-1.22.1/html/api/emps" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /api/emps?name=&gender=&begin=&end=&page=1&pageSize=10 HTTP/1.1", host: "localhost", referrer: "http://localhost/emp"
2026/02/22 14:18:11 [error] 28108#39864: *6 CreateFile() "C:\nginx-1.22.1/html/api/depts" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /api/depts HTTP/1.1", host: "localhost", referrer: "http://localhost/dept"
2026/02/22 14:22:00 [error] 17952#18012: *4 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/depts HTTP/1.1", upstream: "http://[::1]:8080/depts", host: "localhost:91", referrer: "http://localhost:91/dept"
2026/02/22 14:22:02 [error] 17952#18012: *4 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/depts HTTP/1.1", upstream: "http://127.0.0.1:8080/depts", host: "localhost:91", referrer: "http://localhost:91/dept"
2026/02/22 14:22:02 [error] 17952#18012: *4 CreateFile() "C:\nginx-1.22.1/html/50x.html" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /api/depts HTTP/1.1", upstream: "http://127.0.0.1:8080/depts", host: "localhost:91", referrer: "http://localhost:91/dept"
2026/02/22 15:11:37 [error] 23108#24240: *1 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/depts HTTP/1.1", upstream: "http://[::1]:8080/depts", host: "localhost:91", referrer: "http://localhost:91/dept"
2026/02/22 15:11:37 [error] 23108#24240: *2 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/emps?name=&gender=&begin=&end=&page=1&pageSize=10 HTTP/1.1", upstream: "http://127.0.0.1:8080/emps?name=&gender=&begin=&end=&page=1&pageSize=10", host: "localhost:91", referrer: "http://localhost:91/emp"
2026/02/22 15:11:37 [error] 23108#24240: *2 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/emps?name=&gender=&begin=&end=&page=1&pageSize=10 HTTP/1.1", upstream: "http://localhost/emps?name=&gender=&begin=&end=&page=1&pageSize=10", host: "localhost:91", referrer: "http://localhost:91/emp"
2026/02/22 15:11:37 [error] 23108#24240: *2 CreateFile() "C:\nginx-1.22.1/html/50x.html" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /api/emps?name=&gender=&begin=&end=&page=1&pageSize=10 HTTP/1.1", upstream: "http://localhost/emps?name=&gender=&begin=&end=&page=1&pageSize=10", host: "localhost:91", referrer: "http://localhost:91/emp"
2026/02/22 15:11:39 [error] 23108#24240: *1 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/depts HTTP/1.1", upstream: "http://127.0.0.1:8080/depts", host: "localhost:91", referrer: "http://localhost:91/dept"
2026/02/22 15:11:39 [error] 23108#24240: *1 CreateFile() "C:\nginx-1.22.1/html/50x.html" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /api/depts HTTP/1.1", upstream: "http://127.0.0.1:8080/depts", host: "localhost:91", referrer: "http://localhost:91/dept"
2026/02/22 15:16:58 [error] 24584#25824: *1 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/emps?name=&gender=&begin=&end=&page=1&pageSize=10 HTTP/1.1", upstream: "http://[::1]:8080/emps?name=&gender=&begin=&end=&page=1&pageSize=10", host: "localhost:91", referrer: "http://localhost:91/emp"
2026/02/22 15:17:00 [error] 24584#25824: *1 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/emps?name=&gender=&begin=&end=&page=1&pageSize=10 HTTP/1.1", upstream: "http://127.0.0.1:8080/emps?name=&gender=&begin=&end=&page=1&pageSize=10", host: "localhost:91", referrer: "http://localhost:91/emp"
2026/02/22 15:17:00 [error] 24584#25824: *1 CreateFile() "C:\nginx-1.22.1/html/50x.html" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /api/emps?name=&gender=&begin=&end=&page=1&pageSize=10 HTTP/1.1", upstream: "http://127.0.0.1:8080/emps?name=&gender=&begin=&end=&page=1&pageSize=10", host: "localhost:91", referrer: "http://localhost:91/emp"
2026/02/22 15:17:02 [error] 24584#25824: *3 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/depts HTTP/1.1", upstream: "http://127.0.0.1:8080/depts", host: "localhost:91", referrer: "http://localhost:91/dept"
2026/02/22 15:17:02 [error] 24584#25824: *3 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/depts HTTP/1.1", upstream: "http://localhost/depts", host: "localhost:91", referrer: "http://localhost:91/dept"
